"date","close","volume","open","high","low"
"16:00","169.08","28,995,639","169.87","170.3197","168.38"
"2017/11/14","171.3400","24683350.0000","173.0400","173.4800","171.1800"
"2017/11/13","173.9700","16956290.0000","173.5000","174.5000","173.4000"
"2017/11/10","174.6700","25129510.0000","175.1100","175.3800","174.2700"
"2017/11/09","175.8800","29422610.0000","175.1100","176.0950","173.1400"
"2017/11/08","176.2400","24358920.0000","174.6600","176.2400","174.3300"
"2017/11/07","174.8100","24332120.0000","173.9100","175.2500","173.6000"
"2017/11/06","174.2500","34770480.0000","172.3650","174.9900","171.7200"
"2017/11/03","172.5000","59332210.0000","174.0000","174.2600","171.1200"
"2017/11/02","168.1100","39668100.0000","167.6400","168.5000","165.2800"
"2017/11/01","166.8900","33482970.0000","169.8700","169.9400","165.6100"
"2017/10/31","169.0400","35779520.0000","167.9000","169.6499","166.9400"
"2017/10/30","166.7200","44651420.0000","163.8900","168.0700","163.7200"
"2017/10/27","163.0500","44387770.0000","159.2900","163.6000","158.7000"
"2017/10/26","157.4100","16916650.0000","157.2300","157.8295","156.7800"
"2017/10/25","156.4100","21175670.0000","156.9100","157.5500","155.2700"
"2017/10/24","157.1000","17633730.0000","156.2900","157.4200","156.2000"
"2017/10/23","156.1700","21888930.0000","156.8900","157.6900","155.5000"
"2017/10/20","156.2500","23907540.0000","156.6100","157.7500","155.9600"
"2017/10/19","155.9800","42357420.0000","156.7500","157.0800","155.0200"
"2017/10/18","159.7600","16252850.0000","160.4200","160.7100","159.6000"
"2017/10/17","160.4700","18969700.0000","159.7800","160.8700","159.2300"
"2017/10/16","159.8800","24093300.0000","157.9000","160.0000","157.6500"
"2017/10/13","156.9900","16367780.0000","156.7300","157.2800","156.4100"
"2017/10/12","156.0000","16380570.0000","156.3500","157.3700","155.7299"
"2017/10/11","156.5500","16861450.0000","155.9700","156.9800","155.7500"
"2017/10/10","155.9000","15603520.0000","156.0550","158.0000","155.1000"
"2017/10/09","155.8400","16243080.0000","155.8100","156.7300","155.4850"
"2017/10/06","155.3000","17223790.0000","154.9700","155.4900","154.5600"
"2017/10/05","155.3900","21215870.0000","154.1800","155.4400","154.0500"
"2017/10/04","153.4800","20088940.0000","153.6300","153.8600","152.4600"
"2017/10/03","154.4800","16216800.0000","154.0100","155.0900","153.9100"
"2017/10/02","153.8100","18631540.0000","154.2600","154.4500","152.7200"
"2017/09/29","154.1200","26204670.0000","153.2100","154.1300","152.0000"
"2017/09/28","153.2800","21983410.0000","153.8900","154.2800","152.7000"
"2017/09/27","154.2300","25402270.0000","153.8000","154.7189","153.5400"
"2017/09/26","153.1400","35907770.0000","151.7800","153.9200","151.6900"
"2017/09/25","150.5500","44366140.0000","149.9900","151.8300","149.1600"
"2017/09/22","151.8900","46575410.0000","152.0200","152.2700","150.5600"
"2017/09/21","153.3900","37350060.0000","155.8000","155.8000","152.7500"
"2017/09/20","156.0700","52126240.0000","157.9000","158.2600","153.8300"
"2017/09/19","158.7300","20565620.0000","159.5100","159.7700","158.4400"
"2017/09/18","158.6700","28157630.0000","160.1100","160.5000","157.9950"
"2017/09/15","159.8800","48846060.0000","158.4700","160.9700","158.0000"
"2017/09/14","158.2800","23637310.0000","158.9900","159.4000","158.0900"
"2017/09/13","159.6500","44866280.0000","159.8700","159.9600","157.9100"
"2017/09/12","160.8600","71574560.0000","162.6100","163.9600","158.7700"
"2017/09/11","161.5000","31506890.0000","160.5000","162.0500","159.8900"
"2017/09/08","158.6300","28411740.0000","160.8600","161.1500","158.5300"
"2017/09/07","161.2600","21905160.0000","162.0900","162.2400","160.3600"
"2017/09/06","161.9100","21610300.0000","162.7100","162.9900","160.5200"
"2017/09/05","162.0800","29491910.0000","163.7500","164.2500","160.5600"
"2017/09/01","164.0500","16564340.0000","164.8000","164.9400","163.6300"
"2017/08/31","164.0000","26729940.0000","163.6400","164.5200","163.4800"
"2017/08/30","163.3500","27215770.0000","163.8000","163.8900","162.6100"
"2017/08/29","162.9100","29451050.0000","160.1000","163.1200","160.0000"
"2017/08/28","161.4700","25649890.0000","160.1400","162.0000","159.9300"
"2017/08/25","159.8600","25184600.0000","159.6500","160.5600","159.2700"
"2017/08/24","159.2700","19782170.0000","160.4300","160.7400","158.5500"
"2017/08/23","159.9800","19376940.0000","159.0700","160.4700","158.8800"
"2017/08/22","159.7800","21564890.0000","158.2300","160.0000","158.0200"
"2017/08/21","157.2100","26330070.0000","157.5000","157.8900","155.1101"
"2017/08/18","157.5000","27391950.0000","157.8600","159.5000","156.7200"
"2017/08/17","157.8600","27377960.0000","160.5200","160.7100","157.8400"
"2017/08/16","160.9500","27607370.0000","161.9400","162.5100","160.1500"
"2017/08/15","161.6000","29377630.0000","160.6600","162.1950","160.1400"
"2017/08/14","159.8500","22074760.0000","159.3200","160.2100","158.7500"
"2017/08/11","157.4800","26208970.0000","156.6000","158.5728","156.0700"
"2017/08/10","155.3200","39636190.0000","159.9000","160.0000","154.6300"
"2017/08/09","161.0600","26060430.0000","159.2600","161.2700","159.1100"
"2017/08/08","160.0800","36127490.0000","158.6000","161.8300","158.2700"
"2017/08/07","158.8100","21827400.0000","157.0600","158.9200","156.6701"
"2017/08/04","156.3900","20514810.0000","156.0700","157.4000","155.6900"
"2017/08/03","155.5700","26604140.0000","157.0500","157.2100","155.0200"
"2017/08/02","157.1400","69726440.0000","159.2800","159.7500","156.1600"
"2017/08/01","150.0500","33669020.0000","149.1000","150.2200","148.4100"
"2017/07/31","148.7300","19690420.0000","149.9000","150.3300","148.1300"
"2017/07/28","149.5000","17192770.0000","149.8900","150.2300","149.1900"
"2017/07/27","150.5600","32429770.0000","153.7500","153.9900","147.3000"
"2017/07/26","153.4600","15649120.0000","153.3500","153.9300","153.0600"
"2017/07/25","152.7400","18798250.0000","151.8000","153.8400","151.8000"
"2017/07/24","152.0900","21466370.0000","150.5800","152.4400","149.9000"
"2017/07/21","150.2700","25111310.0000","149.9900","150.4400","148.8800"
"2017/07/20","150.3400","17170490.0000","151.5000","151.7400","150.1900"
"2017/07/19","151.0200","20859830.0000","150.4800","151.4200","149.9500"
"2017/07/18","150.0800","17837130.0000","149.2000","150.1300","148.6700"
"2017/07/17","149.5600","23765710.0000","148.8200","150.9000","148.5700"
"2017/07/14","149.0400","20117070.0000","147.9700","149.3300","147.3300"
"2017/07/13","147.7700","25080500.0000","145.5000","148.4900","145.4400"
"2017/07/12","145.7400","24833800.0000","145.8700","146.1800","144.8200"
"2017/07/11","145.5300","18647220.0000","144.7300","145.8500","144.3800"
"2017/07/10","145.0600","21080580.0000","144.1100","145.9500","143.3700"
"2017/07/07","144.1800","18527000.0000","142.9000","144.7500","142.9000"
"2017/07/06","142.7300","24110330.0000","143.0200","143.5000","142.4100"
